Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate
Drew Brees,NO,489,364,74.4,3992,8.2,32,6.5,5,1,72t,17,121,115.7
Patrick Mahomes,KC,580,383,66,5097,8.8,50,8.6,12,2.1,89t,26,171,113.8
Russell Wilson,SEA,427,280,65.6,3448,8.1,35,8.2,7,1.6,66,51,355,110.9
Matt Ryan,ATL,608,422,69.4,4924,8.1,35,5.8,7,1.2,75t,42,296,108.1
Philip Rivers,LAC,508,347,68.3,4308,8.5,32,6.3,12,2.4,75t,32,204,105.5
Deshaun Watson,HOU,505,345,68.3,4165,8.2,26,5.1,9,1.8,73t,62,384,103.1
Carson Wentz,PHI,401,279,69.6,3074,7.7,21,5.2,7,1.7,58,31,202,102.2
Jared Goff,LA,561,364,64.9,4688,8.4,32,5.7,12,2.1,70t,33,223,101.1
Ryan Fitzpatrick,TB,246,164,66.7,2366,9.6,17,6.9,12,4.9,75t,14,76,100.4
Kirk Cousins,MIN,606,425,70.1,4298,7.1,30,5,10,1.7,75t,40,262,99.7
Andrew Luck,IND,639,430,67.3,4593,7.2,39,6.1,15,2.3,68t,18,134,98.7
Tom Brady,NE,570,375,65.8,4355,7.6,29,5.1,11,1.9,63t,21,147,97.7
Aaron Rodgers,GB,597,372,62.3,4442,7.4,25,4.2,2,0.3,75t,49,353,97.6
Dak Prescott,DAL,526,356,67.7,3885,7.4,22,4.2,8,1.5,90t,56,347,96.9
Ben Roethlisberger,PIT,675,452,67,5129,7.6,34,5,16,2.4,97t,24,166,96.5
Mitchell Trubisky,CHI,434,289,66.6,3223,7.4,24,5.5,12,2.8,70t,24,143,95.4
Cam Newton,CAR,471,320,67.9,3395,7.2,24,5.1,13,2.8,82,29,213,94.2
Derek Carr,OAK,553,381,68.9,4049,7.3,19,3.4,10,1.8,66,51,299,93.9
Baker Mayfield,CLE,486,310,63.8,3725,7.7,27,5.6,14,2.9,71,25,173,93.7
Ryan Tannehill,MIA,274,176,64.2,1979,7.2,17,6.2,9,3.3,75t,35,279,92.7
Eli Manning,NYG,576,380,66,4299,7.5,21,3.6,11,1.9,58,47,358,92.4
Marcus Mariota,TEN,331,228,68.9,2528,7.6,11,3.3,8,2.4,61t,42,243,92.3
Nick Mullens,SF,274,176,64.2,2277,8.3,13,4.7,10,3.6,85t,17,127,90.8
Jameis Winston,TB,378,244,64.6,2992,7.9,19,5,14,3.7,64,27,157,90.2
Matthew Stafford,DET,555,367,66.1,3777,6.8,21,3.8,11,2,67,40,255,89.9
Andy Dalton,CIN,365,226,61.9,2566,7,21,5.8,11,3,49,21,157,89.6
Alex Smith,WAS,328,205,62.5,2180,6.6,10,3,5,1.5,52,22,121,85.7
Joe Flacco,BAL,379,232,61.2,2465,6.5,12,3.2,6,1.6,71,16,79,84.2
Case Keenum,DEN,586,365,62.3,3890,6.6,18,3.1,15,2.6,64t,34,235,81.2
Blake Bortles,JAX,403,243,60.3,2718,6.7,13,3.2,11,2.7,80t,31,173,79.8
Sam Darnold,NYJ,414,239,57.7,2865,6.9,17,4.1,15,3.6,76t,30,204,77.6
Josh Allen,BUF,320,169,52.8,2074,6.5,10,3.1,12,3.8,75t,28,213,67.9
Josh Rosen,ARI,393,217,55.2,2278,5.8,11,2.8,14,3.6,75t,45,320,66.7
